NAMESPACE            LAST SEEN   TYPE      REASON                           OBJECT                                                                                   MESSAGE
kube-system          34m         Normal    Pulled                           pod/netd-rg74m                                                                           Container image "us-central1-artifactregistry.gcr.io/gke-release/gke-release/netd-init:v0.10.12-gke.8@sha256:035b66e2f6c307a04bc0a094b5194bdebb8e77ef6f1f7668021c37f0a4a425fa" already present on machine and can be accessed by the pod
kube-system          34m         Normal    Pulled                           pod/konnectivity-agent-67c5d59449-2rx95                                                  Container image "us-central1-artifactregistry.gcr.io/gke-release/gke-release/proxy-agent:v0.34.0-gke.2@sha256:e06ea9cf5c86367805df7c4a5f763c5948a391b500985d8a1da09cd866e5be71" already present on machine and can be accessed by the pod
kube-system          34m         Normal    Created                          pod/konnectivity-agent-67c5d59449-2rx95                                                  Container created
kube-system          34m         Normal    Started                          pod/konnectivity-agent-67c5d59449-2rx95                                                  Container started
kube-system          34m         Normal    Created                          pod/netd-rg74m                                                                           Container created
default              34m         Normal    NodeNotSchedulable               node/gk3-pmomax-auto-pool-2-46493e36-6j6x                                                Node gk3-pmomax-auto-pool-2-46493e36-6j6x status is now: NodeNotSchedulable
kube-system          34m         Normal    SuccessfulDelete                 replicaset/konnectivity-agent-67c5d59449                                                 Deleted pod: konnectivity-agent-67c5d59449-2rx95
kube-system          34m         Normal    ScalingReplicaSet                deployment/konnectivity-agent                                                            Scaled down replica set konnectivity-agent-67c5d59449 from 3 to 2
kube-system          34m         Normal    SuccessfulCreate                 daemonset/ip-masq-agent                                                                  Created pod: ip-masq-agent-fm2mb
gke-gmp-system       34m         Warning   Unhealthy                        pod/collector-v6nkr                                                                      Readiness probe failed: Get "http://10.23.0.4:19090/-/ready": dial tcp 10.23.0.4:19090: connect: connection refused
kube-system          34m         Normal    Killing                          pod/konnectivity-agent-67c5d59449-2rx95                                                  Stopping container konnectivity-agent
kube-system          34m         Normal    SuccessfulCreate                 daemonset/efficiency-daemon                                                              Created pod: efficiency-daemon-dxp69
kube-system          34m         Normal    Started                          pod/netd-rg74m                                                                           Container started
kube-system          34m         Normal    Killing                          pod/konnectivity-agent-67c5d59449-2rx95                                                  Stopping container konnectivity-agent-metrics-collector
kube-system          34m         Normal    Pulled                           pod/netd-rg74m                                                                           Container image "us-central1-artifactregistry.gcr.io/gke-release/gke-release/node_token_broker/init:gke_node_token_broker_init_20251007.00_p0@sha256:638afa0822ed4c4aad9ff9f8528667a9d04dd5e1c7b1c251e9344ca7dd4aad68" already present on machine and can be accessed by the pod
kube-system          34m         Normal    SuccessfulCreate                 daemonset/parallelstore-csi-node                                                         Created pod: parallelstore-csi-node-vrz99
kube-system          34m         Normal    SuccessfulCreate                 daemonset/gke-metadata-server                                                            Created pod: gke-metadata-server-4c6j9
kube-system          34m         Normal    SuccessfulCreate                 daemonset/gke-metrics-agent                                                              Created pod: gke-metrics-agent-8fjlf
kube-system          34m         Normal    Created                          pod/netd-rg74m                                                                           Container created
kube-system          34m         Normal    Pulled                           pod/ip-masq-agent-fm2mb                                                                  Container image "us-central1-artifactregistry.gcr.io/gke-release/gke-release/ip-masq-agent:v2.12.6-gke.26@sha256:9858c6e226cade81d402a22b0cc4247ae4944247b55c4e764b7d72461d33c466" already present on machine and can be accessed by the pod
kube-system          34m         Normal    Started                          pod/netd-rg74m                                                                           Container started
kube-system          34m         Normal    Pulled                           pod/efficiency-daemon-dxp69                                                              Container image "us-central1-artifactregistry.gcr.io/gke-release/gke-release/node_token_broker/init:gke_node_token_broker_init_20251214.00_p0@sha256:b874fc11a53a5360e099705a6576bc4ee8d9747010331e8c34a68d28a7252d0d" already present on machine and can be accessed by the pod
kube-system          34m         Normal    Created                          pod/efficiency-daemon-dxp69                                                              Container created
kube-system          34m         Normal    Started                          pod/efficiency-daemon-dxp69                                                              Container started
